Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_7,2019-06-02 17:02:55,主机node_63 日志中有No route to host信息,0
1,SYS_7,2019-06-02 17:02:58,主机node_24 上CPU Steal Time持续5分钟超过10%,0
2,SYS_6,2019-06-02 17:02:59,主机node_32 网卡eth0 接收流量持续10分钟平均值大于180M,0
3,SYS_4,2019-06-02 17:03:00,主机node_27 url:http://node_27:80//访问失败,0
4,SYS_5,2019-06-02 17:03:01,主机node_6 上CPU Steal Time持续5分钟超过10%,0
5,SYS_3,2019-06-02 17:03:01,"主机node_86 空闲CPU为0.1%,持续15分钟小于10%",0
6,SYS_5,2019-06-02 17:03:01,"主机node_82 空闲CPU为0.1%,持续15分钟小于10%",0
7,SYS_5,2019-06-02 17:03:01,主机node_74 上I/O等待负载持续15分钟超过10%,0
8,SYS_5,2019-06-02 17:03:01,主机node_85 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：368次（大于阈值：200次）,0
9,SYS_4,2019-06-02 17:03:01,主机node_81 上I/O等待负载持续15分钟超过10%,0
10,SYS_9,2019-06-02 17:03:04,主机node_66 堆内存平均使用率：92.69%（大于阈值：90%）,0
11,SYS_5,2019-06-02 17:03:07,主机node_2 sdd IO使用率持续30分钟大于90%,0
12,SYS_4,2019-06-02 17:03:07,主机node_62 空闲交换空间小于50%,0
13,SYS_6,2019-06-02 17:03:09,主机node_35 日志产生ERROR信息,0
14,SYS_4,2019-06-02 17:03:10,主机node_27 url:http://node_27:80//访问失败,0
15,SYS_3,2019-06-02 17:03:10,主机node_97 ping丢包率当前值为25%，持续2分钟平均大于20%,0
16,SYS_2,2019-06-02 17:03:10,主机node_99 网卡eth0 发送流量持续10分钟平均值大于800M,0
17,SYS_8,2019-06-02 17:03:11,主机node_43 堆内存平均使用率：94.61%（大于阈值：90%）,0
18,SYS_2,2019-06-02 17:03:15,主机node_7 堆内存平均使用率：94.61%（大于阈值：90%）,0
19,SYS_6,2019-06-02 17:03:19,主机node_98 **application 停止运行,0
20,SYS_2,2019-06-02 17:03:20,主机node_99 网卡eth0 发送流量持续10分钟平均值大于800M,0
21,SYS_10,2019-06-02 17:03:21,主机node_11 端口80通信异常,0
22,SYS_9,2019-06-02 17:03:24,主机node_66 堆内存平均使用率：92.69%（大于阈值：90%）,0
23,SYS_5,2019-06-02 17:03:27,主机node_2 sdd IO使用率持续30分钟大于90%,0
24,SYS_6,2019-06-02 17:03:27,主机node_67 端口8080通信异常,1
25,SYS_8,2019-06-02 17:03:27,主机node_88 网卡流量unknown,0
26,SYS_6,2019-06-02 17:03:29,主机node_48 上I/O等待负载大于50%,0
27,SYS_7,2019-06-02 17:03:30,主机node_54 日志中有No route to host信息,0
28,SYS_8,2019-06-02 17:03:31,主机node_43 堆内存平均使用率：94.61%（大于阈值：90%）,0
29,SYS_4,2019-06-02 17:03:31,主机node_5 空闲交换空间小于50%,0
30,SYS_5,2019-06-02 17:03:32,主机node_2 Nginx 80端口的连接数大于2000,0
31,SYS_8,2019-06-02 17:03:32,主机node_41 网卡eth0 发送流量持续10分钟平均值大于800M,0
32,SYS_8,2019-06-02 17:03:33,主机node_95 硬盘Slot 00状态为Failed,0
33,SYS_2,2019-06-02 17:03:33,主机node_18 网卡eth0 发送流量持续10分钟平均值大于800M,0
34,SYS_9,2019-06-02 17:03:35,主机node_75 日志报错:无法获取连接,0
35,SYS_4,2019-06-02 17:03:37,主机node_62 空闲交换空间小于50%,0
36,SYS_4,2019-06-02 17:03:40,主机node_27 url:http://node_27:80//访问失败,0
